Datetime,Close,MACD_Crossover,YBR_Crossover,adx,macd,candle,Signal,Return
2023-02-22 11:00:00-05:00,4008.25,0,0,48.855963,-8.771478,NO_PATTERN,0,
2023-02-22 12:00:00-05:00,4015.0,0,0,47.446443,-7.770472,CDLHIKKAKE_Bear,0,
2023-02-22 13:00:00-05:00,4017.25,0,0,45.62898,-6.718169,CDLSPINNINGTOP_Bull,0,
2023-02-22 14:00:00-05:00,3989.25,0,0,45.517472,-8.050773,CDLCLOSINGMARUBOZU_Bear,0,
2023-02-22 15:00:00-05:00,4000.0,0,0,45.648031,-8.145539,CDLCLOSINGMARUBOZU_Bull,0,
2023-02-22 16:00:00-05:00,4008.5,0,0,44.729688,-7.448897,CDLCLOSINGMARUBOZU_Bull,0,
2023-02-22 18:00:00-05:00,4010.0,0,0,43.7562,-6.698549,CDLADVANCEBLOCK_Bull,0,
2023-02-22 19:00:00-05:00,4010.75,0,0,42.541946,-5.974503,CDLDOJI_Bull,0,
2023-02-22 20:00:00-05:00,4016.5,0,0,40.983614,-4.880456,NO_PATTERN,0,
2023-02-22 21:00:00-05:00,4017.75,0,0,39.321172,-3.867964,CDLDOJI_Bull,0,
2023-02-22 22:00:00-05:00,4017.0,0,0,37.681641,-3.090451,CDLDOJI_Bull,0,
2023-02-22 23:00:00-05:00,4018.5,0,0,36.183563,-2.326411,NO_PATTERN,0,
2023-02-23 00:00:00-05:00,4016.0,0,0,34.869799,-1.900723,NO_PATTERN,0,
2023-02-23 01:00:00-05:00,4015.25,0,0,33.649875,-1.605375,CDLDOJI_Bull,0,
2023-02-23 02:00:00-05:00,4014.5,0,0,32.743958,-1.415511,CDLSPINNINGTOP_Bear,0,
2023-02-23 03:00:00-05:00,4018.25,0,0,30.838816,-0.95148,NO_PATTERN,0,
2023-02-23 04:00:00-05:00,4015.25,0,0,29.586751,-0.816397,NO_PATTERN,0,
2023-02-23 05:00:00-05:00,4015.25,0,0,28.424119,-0.701259,CDLDOJI_Bull,0,
2023-02-23 06:00:00-05:00,4019.5,0,0,26.864253,-0.264028,CDLCLOSINGMARUBOZU_Bull,0,
2023-02-23 07:00:00-05:00,4019.5,0,0,25.104707,0.081541,CDLDOJI_Bull,0,
2023-02-23 08:00:00-05:00,4018.0,0,0,24.255151,0.231698,CDLHIGHWAVE_Bear,0,
2023-02-23 09:00:00-05:00,4030.5,0,1,22.955187,1.343853,NO_PATTERN,0,-0.1
2023-02-23 10:00:00-05:00,4003.75,0,0,22.676326,0.065982,NO_PATTERN,0,
2023-02-23 11:00:00-05:00,3976.75,2,0,24.00514,-3.089797,CDLCLOSINGMARUBOZU_Bear,0,
2023-02-23 12:00:00-05:00,3987.5,2,2,25.325804,-4.669512,CDLCLOSINGMARUBOZU_Bull,0,
2023-02-23 13:00:00-05:00,3994.0,2,0,25.611397,-5.335449,NO_PATTERN,0,
2023-02-23 14:00:00-05:00,4013.25,0,0,23.891452,-4.260778,NO_PATTERN,0,
2023-02-23 15:00:00-05:00,4018.75,0,0,22.781357,-2.931498,CDLSHOOTINGSTAR_Bear,0,
2023-02-23 16:00:00-05:00,4015.25,1,0,21.750555,-2.135834,NO_PATTERN,0,
2023-02-23 18:00:00-05:00,4012.25,1,0,20.586011,-1.727426,CDLHIKKAKE_Bull,0,
2023-02-23 19:00:00-05:00,4018.0,1,0,19.675605,-0.929074,CDLENGULFING_Bull,0,
2023-02-23 20:00:00-05:00,4015.5,0,0,19.152584,-0.492426,CDLSPINNINGTOP_Bear,0,
2023-02-23 21:00:00-05:00,4015.0,0,0,18.666921,-0.184598,CDLDOJI_Bull,0,
2023-02-23 22:00:00-05:00,4018.0,0,0,18.37891,0.297998,CDLHIKKAKE_Bear,0,
2023-02-23 23:00:00-05:00,4014.75,0,0,18.054487,0.413445,CDLENGULFING_Bear,0,
2023-02-24 00:00:00-05:00,4015.25,0,0,17.753237,0.539069,CDLDOJI_Bull,0,
2023-02-24 01:00:00-05:00,4015.5,0,0,17.281273,0.651293,CDLDOJI_Bull,0,
2023-02-24 02:00:00-05:00,4010.5,0,0,16.367947,0.332935,CDLBELTHOLD_Bear,0,
2023-02-24 03:00:00-05:00,4007.0,2,0,15.242001,-0.199488,CDL3OUTSIDE_Bear,0,
2023-02-24 04:00:00-05:00,4005.75,2,0,14.327389,-0.71407,NO_PATTERN,0,
2023-02-24 05:00:00-05:00,4003.0,2,0,14.016564,-1.328468,NO_PATTERN,0,
2023-02-24 06:00:00-05:00,3994.0,0,0,14.667161,-2.512643,CDLBELTHOLD_Bear,0,
2023-02-24 07:00:00-05:00,3991.75,0,0,15.340437,-3.591269,NO_PATTERN,0,
2023-02-24 08:00:00-05:00,3967.5,0,0,17.788077,-6.329893,CDLBELTHOLD_Bear,0,
2023-02-24 09:00:00-05:00,3956.0,0,0,20.472953,-9.320782,NO_PATTERN,0,
2023-02-24 10:00:00-05:00,3952.25,0,0,23.159815,-11.856997,CDLSPINNINGTOP_Bear,0,
2023-02-24 11:00:00-05:00,3970.0,0,0,24.079575,-12.292982,CDLMORNINGSTAR_Bull,0,
2023-02-24 12:00:00-05:00,3957.5,0,0,24.933639,-13.491627,CDLCLOSINGMARUBOZU_Bear,0,
2023-02-24 13:00:00-05:00,3967.0,0,0,25.877881,-13.51915,CDLHIKKAKE_Bull,0,
2023-02-24 14:00:00-05:00,3979.5,0,0,25.426682,-12.389499,CDLHIKKAKE_Bull,0,
2023-02-24 15:00:00-05:00,3975.75,0,0,24.830951,-11.662399,CDLSPINNINGTOP_Bear,0,
2023-02-24 16:00:00-05:00,3974.5,0,0,24.277772,-11.059544,CDLDOJI_Bull,0,
2023-02-26 18:00:00-05:00,3979.5,1,0,23.227328,-10.062326,CDLHAMMER_Bull,0,
2023-02-26 19:00:00-05:00,3977.75,1,0,22.251917,-9.305961,CDLDOJI_Bull,0,
2023-02-26 20:00:00-05:00,3984.75,1,0,20.679944,-8.048912,CDLHIKKAKE_Bear,0,
2023-02-26 21:00:00-05:00,3984.75,0,0,19.237485,-6.972319,CDLDOJI_Bull,0,
2023-02-26 22:00:00-05:00,3981.25,0,0,18.176751,-6.32858,CDLENGULFING_Bear,0,
2023-02-26 23:00:00-05:00,3981.25,0,0,17.191783,-5.752106,CDLDOJI_Bull,0,
2023-02-27 00:00:00-05:00,3976.25,0,0,16.845941,-5.633761,CDLBELTHOLD_Bull,0,
2023-02-27 01:00:00-05:00,3976.0,0,0,16.524802,-5.496782,CDLDOJI_Bull,0,
2023-02-27 02:00:00-05:00,3983.75,0,0,15.369443,-4.708587,CDLHIKKAKE_Bull,0,
2023-02-27 03:00:00-05:00,3990.25,0,0,15.324378,-3.518878,CDLBELTHOLD_Bull,0,
2023-02-27 04:00:00-05:00,3993.0,0,0,15.496611,-2.327295,CDLADVANCEBLOCK_Bear,0,
2023-02-27 05:00:00-05:00,3992.75,0,0,15.729766,-1.38714,CDLDOJI_Bull,0,
2023-02-27 06:00:00-05:00,3994.25,0,0,15.871046,-0.515085,NO_PATTERN,0,
2023-02-27 07:00:00-05:00,3993.0,0,0,16.002234,0.074304,CDLSPINNINGTOP_Bear,0,
2023-02-27 08:00:00-05:00,4010.5,0,1,17.663404,1.93124,CDLBELTHOLD_Bull,0,-0.1
2023-02-27 09:00:00-05:00,4014.25,0,1,19.241099,3.663241,CDL3OUTSIDE_Bull,0,-0.1
2023-02-27 10:00:00-05:00,4003.25,0,0,21.332266,4.100984,CDLENGULFING_Bear,0,
2023-02-27 11:00:00-05:00,3993.75,0,2,21.836977,3.639374,CDL3OUTSIDE_Bear,0,
